file_name,text
addition_application.png,addition application coffee trade environment competition
case_week.png,case week group recognition transportation company discipline
combination_school.png,combination school responsibility average year sign explanation
concept_administration.png,concept administration sign device reaction soil election salad
dealer_passenger.png,dealer passenger tension intention responsibility cell
discussion_guidance.png,discussion guidance language interest light region mall situation
efficiency_answer.png,efficiency answer chance ability intention time economy
engine_paper.png,engine paper intention category reaction income machine basis
hearing_winner.png,hearing winner book building importance improvement mood
manufacturer_care.png,manufacturer care page charity piano nothing resolution
month_opinion.png,month opinion buyer soup significance trade contract mall
personality_environment.png,personality environment platform impression ratio road back
possibility_meat.png,possibility meat argument foundation force nothing honey
professor_game.png,professor game classroom country organization location cause
record_company.png,record company place resource state warning psychology
recording_organization.png,recording organization dirt responsibility year credit access
selection_mood.png,selection mood bottom poetry period engine speech guide sun
skill_language.png,skill language art hall difference way session shape reality
standard_knowledge.png,standard knowledge trainer video theory term line penalty
strategy_article.png,strategy article construction outcome process shape river
supermarket_chance.png,supermarket chance insect feedback preference impression
theory_charity.png,theory charity picture politics ability term step player world tax
trainer_stock.png,trainer stock problem research wind advice field condition
way_performance.png,way performance web physics security page dinner advertising